age,co2
11802.79,258.53
11820.50,257.17
11843.33,254.31
11863.12,253.63
11883.17,251.56
11904.91,255.90
11926.96,258.57
11948.09,248.92
11969.55,253.99
11990.69,255.39
12015.90,247.85
12037.32,248.41
12058.80,253.10
12079.85,251.03
12105.25,255.66
12124.58,253.02
12146.50,251.14
12168.48,251.42
12190.41,250.97
12211.34,249.65
12232.92,249.23
12256.48,248.95
12280.77,249.38
12301.04,248.92
12321.28,250.73
12343.12,246.97
12365.28,244.31
12388.31,243.00
12409.38,246.40
12431.93,247.67
12454.82,245.83
12475.39,246.18
12495.84,244.42
12521.35,246.74
12543.72,249.92
12564.62,244.27
12586.60,247.02
12607.64,248.09
12629.85,246.94
12653.64,243.95
12673.90,242.53
12697.14,244.24
12719.80,241.59
12739.91,247.30
12762.58,240.02
12785.63,241.50
12809.27,242.23
12830.15,242.15
12852.71,239.35
12873.98,241.24
12893.38,239.44
12917.11,238.79
12939.23,238.18
12959.75,240.71
12980.88,237.15
13001.06,239.42
13021.92,234.68
13043.69,238.86
13066.59,237.91
13088.22,241.56
13128.45,234.82
13172.67,236.91
13216.20,239.41
13266.97,240.42
13304.15,236.86
13418.10,237.83
13486.74,240.25
13531.75,235.83
13600.81,243.86
13645.35,238.55
13712.83,241.59
13758.73,241.11
13827.20,239.08
13871.57,237.95
13940.23,240.57
14001.79,235.92
14022.86,237.87
14060.09,241.27
14084.47,232.88
14120.06,236.40
14156.60,239.24
14179.55,239.36
14205.56,238.36
14237.45,236.60
14273.02,240.21
14298.72,239.04
14308.61,235.80
14343.16,242.08
14354.48,238.39
14374.99,240.33
14410.60,242.55
14422.23,242.60
14443.28,240.95
14463.58,238.61
14497.21,242.06
14520.85,241.14
14531.30,243.17
14541.66,235.83
14552.93,241.73
14563.52,239.86
14575.93,239.77
14586.19,237.97
14595.47,235.31
14606.21,237.59
14619.39,237.97
14629.99,240.10
14645.20,238.12
14652.26,234.62
14664.09,233.42
14675.12,234.34
14686.37,237.49
14696.69,228.91
14706.96,228.18
14718.12,230.53
14730.88,234.54
14743.19,231.48
14758.52,227.90
14763.41,224.64
14776.28,227.39
14787.83,227.79
14799.14,228.50
14810.61,227.58
14822.39,226.51
14834.75,228.40
14844.77,227.87
14857.53,233.17
14869.18,232.22
14880.66,227.85
14892.46,230.63
14904.21,228.72
14915.91,228.36
14929.02,228.47
14953.66,228.89
14976.48,229.79
14987.26,227.65
15011.48,228.37
15034.78,225.38
15072.53,228.99
15095.81,234.47
15133.53,229.67
15156.52,228.81
15181.11,227.84
15218.88,230.18
15243.44,228.27
15280.74,225.77
15320.94,227.64
15345.24,228.92
15382.85,225.39
15410.08,224.74
15462.93,223.27
15546.40,223.53
15649.43,222.76
15704.79,222.16
15767.68,224.86
15844.95,222.36
15920.25,223.51
15936.52,223.77
15995.49,223.72
15998.98,224.41
16014.67,222.39
16033.78,224.48
16083.00,224.24
16114.14,222.41
16151.21,224.86
16166.71,226.19
16187.46,221.49
16208.71,227.32
16222.96,223.24
16240.56,220.49
16260.73,218.56
16278.74,214.22
16296.96,212.84
16317.43,214.60
16337.25,212.43
16354.23,214.83
16374.89,211.21
16391.89,209.51
16410.71,212.95
16431.32,211.79
16458.38,217.19
16472.03,213.94
16509.93,207.95
16553.51,208.65
16590.01,208.46
16655.88,213.15
16733.53,210.25
16797.55,205.53
16869.32,205.19
16928.83,202.93
16994.77,204.32
17091.85,202.10
17163.70,198.63
17236.25,198.29
17287.90,195.88
17311.87,194.65
17360.50,190.50
17385.30,193.02
17410.03,191.89
17434.97,190.76
17460.99,193.00
17485.29,191.48
17510.87,191.59
17534.59,192.37
17561.46,192.62
17586.25,196.96
17612.00,195.79
17637.88,193.21
17665.06,194.38
17691.21,191.52
17717.05,189.52
17743.75,190.41
17769.71,191.70
17797.57,187.25
17825.43,191.21
17854.60,189.52
17881.00,190.26
17907.16,191.72
17935.99,188.54
17965.83,188.66
17992.04,188.96
18024.45,187.79
18050.09,187.73
18081.60,188.64
18110.63,188.59
18139.76,184.88
18173.16,189.01
18201.79,185.65
18232.18,188.88
18264.68,188.52
18295.81,189.03
18324.39,187.12
18360.35,188.73
18391.16,188.21
18422.43,188.47
18457.83,187.45
18486.59,187.09
18519.99,187.67
18582.94,188.57
18677.40,193.90
18747.05,191.27
18803.64,192.97
18835.15,188.44
18866.91,188.50
18993.82,192.71
19152.79,191.09
19282.16,191.58
19442.73,191.52
19568.15,188.95
19629.49,191.42
19791.19,193.60
19883.88,196.06
20018.70,193.72
20213.31,190.47
20407.60,189.99
20536.80,193.93
20666.49,187.76
20828.39,192.66
20964.43,190.87
21067.69,188.40
21212.70,190.05
21345.18,187.24
21562.85,185.23
21790.59,187.96
21913.63,190.78
22055.59,187.38
22230.89,191.27
22292.20,187.22
22347.60,187.02
22550.10,184.68
22604.10,185.21
22650.80,188.49
22749.30,190.01
22833.60,186.13
22994.00,189.40
23013.80,190.53
23107.30,190.08
23185.00,188.60
23276.70,197.67
23358.40,193.53
23445.20,186.78
23600.50,187.99
23873.80,183.13
24077.70,184.68
24269.80,186.73
24643.60,180.57
25163.60,180.69
25351.10,182.66
25543.60,183.38
25786.00,186.54
26016.00,184.52
26254.50,184.57
26315.00,183.77
26460.70,186.01
26537.10,185.51
26703.70,185.44
26857.80,186.43
26954.90,188.08
27042.00,187.39
27084.80,186.27
27170.20,194.93
27280.10,190.06
27441.90,191.95
27502.80,191.23
27549.70,191.53
27586.40,191.95
27661.30,191.46
27687.00,192.71
27714.10,190.61
27718.60,189.30
27820.70,187.59
27866.40,190.58
27885.00,189.28
27927.10,188.99
27973.20,189.29
28097.30,189.96
28214.10,191.82
28271.60,191.59
28369.70,192.63
28413.90,189.16
28426.90,189.65
28577.40,193.10
28626.40,192.82
28724.30,193.80
28841.90,193.89
28902.70,192.69
28948.60,193.26
29008.90,192.87
29150.70,192.26
29205.30,188.10
29249.60,192.39
29323.90,191.01
29366.10,189.83
29410.20,189.21
29609.20,189.24
29681.20,189.77
29742.80,191.28
29837.80,190.97
29952.10,191.38
29999.00,191.57
30101.50,188.25
30181.70,188.48
30277.90,186.52
30312.70,185.99
30400.50,184.30
30528.80,182.94
30713.00,187.14
30775.70,190.33
31105.20,188.00
31356.40,188.48
31524.10,189.95
31792.10,193.71
31818.40,192.93
31933.90,192.51
32026.90,193.33
32079.60,193.91
32147.50,196.42
32150.60,196.91
32307.90,192.47
32361.20,195.25
32434.80,194.11
32511.10,194.61
32594.60,194.43
32677.80,195.08
32714.10,195.94
32813.10,199.30
32880.90,196.70
33009.00,196.33
33148.30,197.65
33417.50,196.90
33491.40,197.13
33555.30,197.80
33758.10,200.03
33841.00,195.63
33885.70,195.27
33907.50,194.46
33925.90,194.47
33957.00,196.47
33991.50,195.41
34064.20,195.93
34190.30,194.89
34250.80,195.79
34312.80,196.27
34334.40,196.20
34556.90,199.65
34602.60,199.49
34620.00,200.29
34647.80,198.89
34710.60,197.16
34825.60,202.80
34866.80,203.09
35089.60,198.78
35165.80,203.60
35281.70,205.38
35337.00,204.47
35359.40,203.62
35383.00,201.36
35445.80,200.30
35497.10,201.06
35508.50,202.04
35530.70,201.89
35568.00,201.83
35672.50,201.81
35701.60,200.50
35854.60,203.29
35948.30,198.80
36086.50,204.12
36173.10,201.78
36261.80,200.09
36506.30,198.96
36591.80,205.10
36669.60,203.77
36712.80,203.75
36820.20,202.76
36939.80,203.51
37023.40,206.36
37118.60,210.16
37143.20,207.35
37296.50,208.25
37302.00,209.66
37338.10,206.59
37431.00,212.51
37461.30,209.84
37618.60,214.30
37647.50,212.14
37777.20,212.09
37895.00,214.21
38000.30,211.21
38088.50,214.36
38165.60,208.34
38192.40,206.52
38284.20,207.41
38359.20,208.00
38412.80,210.79
38472.90,207.23
38533.20,210.08
38573.60,208.23
