age,del_18O,del_D,d-excess,Tsite,Tsource,Tsource-Tsite
45500,-57.53,-447.90,12.31,-4.81,-3.96,0.84
45700,-57.65,-448.95,12.24,-5.04,-4.20,0.84
45900,-57.57,-448.56,12.03,-5.05,-4.34,0.71
46100,-57.84,-450.24,12.46,-5.20,-4.20,1.01
46300,-58.12,-452.03,12.90,-5.37,-4.05,1.32
46500,-58.09,-451.90,12.83,-5.38,-4.10,1.28
46700,-57.86,-449.99,12.88,-4.99,-3.75,1.24
46900,-58.11,-451.94,12.93,-5.34,-4.00,1.34
47100,-58.34,-454.17,12.58,-5.91,-4.67,1.24
47300,-58.40,-454.98,12.20,-6.22,-5.15,1.06
47500,-58.26,-453.99,12.08,-6.07,-5.11,0.96
47700,-58.42,-455.09,12.25,-6.22,-5.12,1.10
47900,-58.33,-454.01,12.60,-5.87,-4.62,1.25
48100,-58.12,-452.24,12.75,-5.47,-4.21,1.26
48300,-58.15,-452.03,13.15,-5.28,-3.80,1.48
48500,-58.28,-453.12,13.11,-5.50,-4.00,1.50
48700,-58.31,-453.73,12.73,-5.77,-4.46,1.31
48900,-58.34,-453.97,12.78,-5.79,-4.45,1.35
49100,-58.42,-454.32,13.07,-5.75,-4.24,1.51
49300,-58.37,-454.03,12.96,-5.74,-4.29,1.44
49500,-58.33,-453.45,13.21,-5.53,-3.98,1.55
49700,-58.27,-452.81,13.37,-5.34,-3.73,1.61
49900,-58.17,-452.16,13.22,-5.28,-3.77,1.50
50100,-57.98,-451.11,12.73,-5.26,-4.07,1.19
50300,-57.80,-450.21,12.16,-5.31,-4.47,0.84
50500,-57.87,-450.86,12.08,-5.47,-4.65,0.82
50700,-57.89,-450.60,12.52,-5.25,-4.20,1.05
50900,-57.85,-449.96,12.82,-5.01,-3.81,1.19
51100,-57.87,-449.59,13.40,-4.71,-3.21,1.50
51300,-57.88,-449.16,13.85,-4.45,-2.72,1.73
51500,-57.63,-447.46,13.61,-4.21,-2.68,1.53
51700,-57.50,-446.15,13.84,-3.87,-2.26,1.61
51900,-57.35,-444.83,13.98,-3.56,-1.92,1.64
52100,-57.33,-444.88,13.76,-3.66,-2.14,1.52
52300,-57.39,-445.46,13.63,-3.82,-2.35,1.47
52500,-57.38,-445.22,13.86,-3.68,-2.09,1.59
52700,-57.44,-446.34,13.17,-4.17,-2.92,1.25
52900,-57.49,-447.56,12.35,-4.72,-3.87,0.85
53100,-57.45,-447.64,11.98,-4.88,-4.23,0.66
53300,-57.55,-448.32,12.11,-4.97,-4.21,0.76
53500,-57.74,-449.81,12.10,-5.26,-4.44,0.81
53700,-57.71,-449.38,12.34,-5.08,-4.14,0.93
53900,-57.79,-449.42,12.87,-4.88,-3.65,1.23
54100,-58.06,-451.27,13.20,-5.10,-3.62,1.49
54300,-58.04,-451.29,13.06,-5.16,-3.75,1.41
54500,-58.03,-451.24,13.02,-5.17,-3.77,1.39
54700,-58.21,-452.74,12.98,-5.47,-4.04,1.43
54900,-58.40,-454.12,13.08,-5.70,-4.16,1.54
55100,-58.33,-453.48,13.17,-5.54,-3.97,1.57
55300,-58.22,-452.71,13.05,-5.44,-3.97,1.47
55500,-58.03,-451.25,13.00,-5.17,-3.78,1.40
55700,-57.82,-449.74,12.85,-4.94,-3.69,1.26
55900,-57.66,-448.79,12.49,-4.90,-3.87,1.03
56100,-57.55,-448.13,12.30,-4.84,-3.94,0.91
56300,-57.52,-447.40,12.72,-4.53,-3.41,1.12
56500,-57.69,-448.50,13.00,-4.64,-3.31,1.32
56700,-57.84,-449.44,13.25,-4.72,-3.22,1.50
56900,-57.82,-449.05,13.48,-4.55,-2.93,1.62
57100,-57.85,-448.63,14.14,-4.21,-2.23,1.98
57300,-57.73,-447.71,14.12,-4.04,-2.10,1.94
57500,-57.48,-445.87,13.94,-3.75,-1.98,1.78
57700,-57.42,-445.55,13.80,-3.74,-2.05,1.70
57900,-57.48,-446.15,13.68,-3.91,-2.24,1.66
58100,-57.45,-446.14,13.45,-3.99,-2.45,1.54
58300,-57.57,-447.16,13.37,-4.22,-2.68,1.54
58500,-57.55,-447.48,12.95,-4.45,-3.12,1.32
58700,-57.42,-446.62,12.78,-4.35,-3.14,1.20
58900,-57.45,-446.58,13.04,-4.24,-2.89,1.35
59100,-57.55,-447.65,12.73,-4.56,-3.33,1.23
59300,-57.71,-449.01,12.66,-4.85,-3.60,1.25
59500,-57.95,-450.49,13.11,-4.96,-3.39,1.57
59700,-58.14,-451.91,13.24,-5.18,-3.47,1.71
59900,-58.23,-452.92,12.93,-5.49,-3.91,1.58
60100,-58.28,-453.61,12.62,-5.75,-4.30,1.44
60300,-58.36,-454.26,12.60,-5.88,-4.41,1.46
60500,-58.47,-454.87,12.88,-5.88,-4.23,1.65
60700,-58.52,-454.99,13.20,-5.78,-3.94,1.84
60900,-58.56,-455.51,12.93,-5.99,-4.28,1.71
61100,-58.69,-456.33,13.17,-6.05,-4.18,1.87
61300,-58.91,-457.85,13.42,-6.25,-4.17,2.07
61500,-59.05,-459.23,13.15,-6.62,-4.65,1.97
61700,-59.14,-460.37,12.79,-6.98,-5.17,1.81
61900,-59.37,-461.90,13.07,-7.17,-5.14,2.03
62100,-59.48,-462.65,13.20,-7.26,-5.14,2.13
62300,-59.44,-462.51,13.04,-7.30,-5.27,2.03
62500,-59.28,-460.94,13.31,-6.89,-4.77,2.12
62700,-59.13,-459.33,13.72,-6.42,-4.13,2.29
62900,-59.06,-458.53,13.92,-6.18,-3.82,2.36
63100,-58.93,-457.11,14.36,-5.74,-3.19,2.55
63300,-58.83,-455.85,14.81,-5.32,-2.57,2.75
63500,-59.08,-457.88,14.79,-5.72,-2.90,2.82
63700,-59.36,-460.17,14.71,-6.19,-3.33,2.86
63900,-59.42,-460.61,14.75,-6.26,-3.36,2.89
64100,-59.46,-461.36,14.32,-6.58,-3.90,2.68
64300,-59.50,-462.15,13.82,-6.93,-4.50,2.42
64500,-59.39,-461.19,13.93,-6.70,-4.25,2.44
64700,-59.29,-460.22,14.09,-6.45,-3.97,2.48
64900,-59.29,-460.27,14.05,-6.48,-4.01,2.46
65100,-59.38,-461.01,14.01,-6.64,-4.17,2.47
65300,-59.47,-461.85,13.88,-6.85,-4.42,2.43
65500,-59.60,-463.31,13.49,-7.28,-5.01,2.27
65700,-59.75,-464.90,13.13,-7.73,-5.60,2.14
65900,-59.71,-464.44,13.25,-7.59,-5.40,2.19
66100,-59.73,-464.29,13.53,-7.46,-5.12,2.34
66300,-59.80,-464.46,13.91,-7.34,-4.79,2.55
66500,-59.76,-463.78,14.30,-7.06,-4.32,2.74
66700,-59.79,-463.67,14.64,-6.90,-3.99,2.92
66900,-59.82,-463.93,14.67,-6.94,-4.01,2.94
67100,-59.74,-463.24,14.66,-6.82,-3.92,2.89
67300,-59.86,-463.95,14.89,-6.87,-3.83,3.04
67500,-59.91,-464.41,14.83,-6.98,-3.96,3.02
67700,-59.82,-463.79,14.75,-6.90,-3.97,2.93
67900,-59.81,-463.72,14.79,-6.87,-3.93,2.94
68100,-59.85,-464.16,14.60,-7.03,-4.19,2.84
68300,-59.67,-462.83,14.52,-6.81,-4.09,2.72
68500,-59.62,-462.30,14.68,-6.65,-3.87,2.78
68700,-59.63,-462.20,14.84,-6.57,-3.72,2.85
68900,-59.64,-461.96,15.14,-6.41,-3.42,2.99
69100,-59.71,-462.11,15.61,-6.26,-3.02,3.24
69300,-59.76,-462.27,15.78,-6.22,-2.90,3.33
69500,-59.75,-461.91,16.08,-6.04,-2.57,3.47
69700,-59.82,-462.14,16.43,-5.95,-2.30,3.65
69900,-59.77,-461.70,16.42,-5.87,-2.26,3.62
70100,-59.61,-460.44,16.47,-5.61,-2.03,3.58
70300,-59.51,-459.45,16.63,-5.36,-1.74,3.61
70500,-59.29,-457.68,16.63,-5.02,-1.50,3.53
70700,-58.93,-455.17,16.25,-4.69,-1.49,3.20
70900,-58.77,-453.98,16.20,-4.48,-1.38,3.11
71100,-58.75,-453.77,16.21,-4.44,-1.35,3.09
71300,-58.73,-453.72,16.11,-4.47,-1.46,3.01
71500,-58.92,-455.11,16.22,-4.71,-1.60,3.11
71700,-58.99,-455.53,16.38,-4.73,-1.54,3.19
71900,-58.99,-455.60,16.34,-4.76,-1.61,3.15
72100,-59.04,-456.02,16.27,-4.88,-1.77,3.11
72300,-59.11,-456.71,16.15,-5.06,-2.01,3.05
72500,-59.10,-457.13,15.70,-5.32,-2.52,2.80
72700,-59.23,-457.83,15.99,-5.35,-2.38,2.97
72900,-59.20,-457.44,16.17,-5.21,-2.18,3.03
73100,-58.98,-455.58,16.24,-4.82,-1.83,2.99
73300,-58.71,-453.25,16.40,-4.31,-1.34,2.97
73500,-58.57,-452.02,16.57,-4.01,-1.01,3.00
73700,-58.36,-450.55,16.31,-3.83,-1.04,2.78
73900,-58.41,-451.04,16.25,-3.95,-1.20,2.75
74100,-58.44,-451.43,16.05,-4.11,-1.47,2.64
74300,-58.33,-450.99,15.62,-4.19,-1.83,2.37
74500,-58.13,-449.63,15.41,-4.02,-1.84,2.18
74700,-58.01,-448.72,15.32,-3.88,-1.80,2.08
74900,-57.83,-447.67,14.99,-3.80,-1.96,1.84
75100,-57.89,-448.16,14.99,-3.90,-2.05,1.85
75300,-57.88,-447.96,15.06,-3.84,-1.97,1.87
75500,-57.80,-447.30,15.12,-3.69,-1.82,1.86
75700,-57.86,-447.78,15.10,-3.79,-1.92,1.87
75900,-58.14,-449.78,15.38,-4.07,-1.98,2.09
76100,-58.29,-450.81,15.48,-4.24,-2.06,2.18
76300,-58.40,-451.56,15.67,-4.31,-2.00,2.31
76500,-58.38,-451.40,15.68,-4.27,-1.97,2.30
76700,-58.29,-450.73,15.60,-4.17,-1.95,2.23
76900,-58.04,-448.93,15.35,-3.92,-1.90,2.02
77100,-57.85,-447.60,15.23,-3.71,-1.82,1.89
77300,-57.82,-447.44,15.10,-3.73,-1.92,1.81
77500,-57.95,-448.62,14.95,-4.02,-2.26,1.76
77700,-58.18,-450.67,14.80,-4.48,-2.73,1.75
77900,-58.39,-452.30,14.82,-4.79,-2.98,1.82
78100,-58.43,-452.50,14.96,-4.78,-2.88,1.89
78300,-58.42,-452.40,15.00,-4.75,-2.85,1.90
78500,-58.35,-451.77,15.06,-4.60,-2.70,1.90
78700,-58.19,-450.23,15.31,-4.20,-2.23,1.98
78900,-58.08,-449.28,15.35,-4.01,-2.06,1.95
79100,-57.98,-448.59,15.26,-3.91,-2.04,1.87
79300,-57.97,-448.47,15.30,-3.87,-1.99,1.88
79500,-57.92,-448.00,15.33,-3.77,-1.90,1.87
79700,-57.85,-447.56,15.20,-3.73,-1.95,1.78
79900,-57.67,-446.26,15.13,-3.51,-1.82,1.69
80100,-57.50,-445.11,14.93,-3.36,-1.83,1.53
80300,-57.35,-443.72,15.04,-3.05,-1.51,1.54
80500,-57.28,-443.06,15.15,-2.88,-1.31,1.57
80700,-57.12,-441.65,15.32,-2.54,-0.94,1.60
80900,-56.92,-440.22,15.16,-2.32,-0.87,1.46
81100,-56.91,-439.98,15.32,-2.22,-0.68,1.54
81300,-56.93,-440.29,15.14,-2.35,-0.90,1.45
81500,-56.93,-440.34,15.06,-2.39,-0.98,1.41
81700,-56.99,-440.91,15.00,-2.52,-1.13,1.39
81900,-57.08,-441.59,15.08,-2.62,-1.16,1.47
82100,-56.91,-440.31,14.95,-2.43,-1.08,1.35
82300,-56.87,-440.15,14.81,-2.45,-1.18,1.27
82500,-56.83,-440.22,14.42,-2.61,-1.55,1.06
82700,-56.79,-440.33,13.97,-2.81,-1.99,0.82
82900,-56.76,-440.04,14.00,-2.74,-1.91,0.83
83100,-56.64,-438.85,14.25,-2.41,-1.47,0.94
83300,-56.53,-437.74,14.53,-2.08,-1.02,1.06
83500,-56.43,-436.70,14.78,-1.78,-0.62,1.16
83700,-56.28,-435.48,14.74,-1.56,-0.46,1.10
83900,-56.10,-434.17,14.61,-1.35,-0.37,0.99
84100,-56.22,-435.26,14.47,-1.61,-0.65,0.96
84300,-56.12,-434.68,14.28,-1.57,-0.73,0.84
84500,-56.02,-433.90,14.23,-1.44,-0.65,0.79
84700,-56.05,-434.10,14.27,-1.47,-0.63,0.83
84900,-56.19,-435.18,14.30,-1.66,-0.75,0.90
85100,-56.17,-435.08,14.28,-1.65,-0.75,0.90
85300,-56.17,-435.22,14.10,-1.74,-0.93,0.81
85500,-56.22,-435.88,13.91,-1.94,-1.21,0.74
85700,-56.27,-436.20,13.94,-2.00,-1.23,0.77
