bag,ptop,age,dd,d18o,deutex
144,78.65,1775.06,-392.6,-50.16,8.7
145,79.2,1791.33,-404.4,-51.68,9.0
146,79.75,1807.75,-394.4,-50.68,11.0
147,80.3,1824.29,-402.2,-51.41,9.1
148,80.85,1840.75,-401.9,-51.45,9.7
149,81.4,1857.18,-393.8,-50.20,7.8
150,81.95,1873.65,-402.3,-51.44,9.2
151,82.5,1890.15,-385.1,-49.36,9.8
152,83.05,1906.71,-395.9,-50.68,9.5
153,83.6,1923.21,-395.8,-50.65,9.4
154,84.15,1939.55,-398.2,-50.89,8.9
155,84.7,1956.13,-394.8,-50.56,9.7
156,85.25,1973.01,-397.7,-50.77,8.5
157,85.8,1989.91,-400.3,-51.29,10.0
158,86.35,2006.82,-402.4,-51.34,8.3
159,86.9,2023.8,-396,-50.33,6.6
160,87.45,2040.81,-401.4,-51.36,9.5
161,88,2057.91,-386.1,-49.56,10.4
162,88.55,2075.06,-400.1,-51.17,9.3
163,89.1,2092.34,-400.3,-51.13,8.7
164,89.65,2109.61,-393.2,-50.30,9.2
165,90.2,2126.85,-399.7,-51.10,9.1
166,90.75,2144.21,-397.9,-50.86,9.0
167,91.3,2161.68,-402,-51.46,9.7
168,91.85,2179.29,-398.7,-51.04,9.6
169,92.4,2196.95,-398.6,-50.89,8.5
170,92.95,2214.64,-49.93
171,93.5,2232.37,-390.6,-49.96,9.1
172,94.05,2250.26,-394,-50.31,8.5
173,94.6,2268.33,-397.9,-50.82,8.7
174,95.15,2286.75,-394.8,-50.38,8.2
175,95.7,2305.2,-408.2,-52.07,8.4
176,96.25,2323.67,-404.3,-51.68,9.1
177,96.8,2342.16,-399.6,-50.99,8.3
178,97.35,2360.64,-400.8,-51.17,8.6
179,97.9,2379.11,-401.5,-51.28,8.7
180,98.45,2397.55,-407.7,-52.22,10.1
181,99,2415.9,-400.5,-51.22,9.3
182,99.55,2434.21,-395.8,-50.53,8.4
183,100.1,2452.44,-399.7,-51.03,8.5
184,100.65,2470.63,-399.6,-51.04,8.7
185,101.2,2488.72,-394.8,-50.28,7.4
186,101.75,2506.69,-398.5,-50.85,8.3
187,102.3,2524.56,-390.2,-49.87,8.8
188,102.85,2542.31,-396.4,-50.64,8.7
189,103.4,2560.01,-392.7,-50.23,9.1
